net,length_um
mplier[8],14.13
_110_,14.04
_129_,14.04
net5,14.02
product[11],13.94
_168_,13.84
_198_,13.78
product[30],13.71
mcand[10],13.59
net74,13.52
_169_,13.46
product[31],13.16
net24,13.1
_090_,13.08
product[29],13.02
st,12.99
contador_act\[1\],12.88
product[25],12.79
_201_,12.4
mcand[4],12.36
mplier[7],12.36
_069_,12.34
net69,12.305
net12,12.28
net76,12.2
_100_,12.18
_023_,12.14
mcand[11],12.11
_137_,12.04
_068_,11.68
product[12],11.68
product[26],11.68
mplier[4],11.44
product[19],11.22
_045_,11.18
_135_,11.12
product[5],11.1
mcand[2],11.02
_063_,10.84
_179_,10.74
_151_,10.695
product[18],10.64
_071_,10.62
_094_,10.58
net28,10.52
contador_act\[0\],10.48
product[14],10.39
_188_,10.36
product[6],10.3
_070_,10.18
net90,10.16
net72,10.085
contador_act\[4\],9.98
net85,9.88
_007_,9.645
mplier[3],9.64
mplier[6],9.64
_152_,9.46
acu_act\[32\],9.12
product[21],9.09
_142_,9.06
_133_,8.96
_122_,8.95
product[2],8.94
_084_,8.86
_081_,8.78
net92,8.48
_083_,8.46
_102_,8.34
_125_,8.34
_104_,8.295
_015_,8.225
_093_,8.18
_114_,8.16
_206_,8.12
_010_,7.985
net67,7.98
_076_,7.94
_092_,7.94
_006_,7.885
_103_,7.88
product[9],7.79
_197_,7.64
product[24],7.59
product[28],7.58
net93,7.525
net83,7.46
_050_,7.22
mcand[9],7.13
_075_,7.04
_159_,6.98
_099_,6.97
net75,6.945
mcand[15],6.79
_165_,6.765
net86,6.76
_109_,6.72
_001_,6.665
_199_,6.6
net37,6.6
_021_,6.54
_065_,6.36
net91,6.3
_144_,6.26
_031_,6.225
_054_,6.16
mcand[0],6.09
mcand[3],5.97
mcand[7],5.97
_016_,5.895
_111_,5.84
_160_,5.84
_101_,5.8
_085_,5.74
_208_,5.72
net18,5.72
_139_,5.68
_192_,5.68
mplier[12],5.63
mplier[1],5.63
_077_,5.5
_040_,5.4
_124_,5.34
_172_,5.34
_029_,5.305
net71,5.305
mcand[5],5.29
mplier[0],5.29
_008_,5.265
_012_,5.265
_185_,5.26
_120_,5.22
_171_,5.22
_072_,5.14
_126_,5.14
_009_,5.085
product[17],5.07
product[27],5.07
mplier[15],4.95
_067_,4.92
_196_,4.92
net89,4.92
_004_,4.905
_154_,4.88
net77,4.845
_203_,4.8
_128_,4.78
_136_,4.68
_035_,4.625
_073_,4.62
mcand[14],4.61
mcand[1],4.61
mplier[13],4.61
_087_,4.6
_097_,4.54
_005_,4.485
_170_,4.48
_060_,4.46
_155_,4.46
_130_,4.42
done,4.39
product[10],4.39
_180_,4.34
product[15],4.27
product[8],4.27
_013_,4.24
_200_,4.1
_095_,4
_112_,3.96
mplier[9],3.93
_175_,3.88
_106_,3.86
_082_,3.76
net21,3.76
_018_,3.705
_146_,3.68
_074_,3.64
_096_,3.56
_119_,3.56
_138_,3.54
net70,3.54
_207_,3.52
_038_,3.505
_024_,3.465
_027_,3.465
_034_,3.465
_039_,3.465
_113_,3.44
_186_,3.42
contador_act\[3\],3.42
_022_,3.32
_064_,3.3
_148_,3.2
_017_,3.145
_153_,3.1
_150_,3.08
_194_,3.08
_030_,3.005
_189_,2.98
_134_,2.96
net27,2.96
_019_,2.945
_025_,2.785
_089_,2.76
_036_,2.715
_205_,2.64
_162_,2.62
_011_,2.585
_132_,2.53
_156_,2.5
_157_,2.5
_166_,2.5
net87,2.5
_108_,2.21
_117_,2.18
_058_,2.16
_121_,2.16
net84,2.16
_032_,2.125
_026_,2.085
_003_,2.08
_187_,2.06
_079_,2.04
_105_,2.04
_161_,1.94
_033_,1.865
_037_,1.865
net68,1.84
net73,1.84
net80,1.84
_176_,1.72
_020_,1.7
_145_,1.7
_002_,1.685
_014_,1.685
_028_,1.575
net81,1.38
_078_,1.32
_127_,1.26
_066_,1.14
_088_,1.14
net79,0.92
net82,0.92
net88,0.92
_059_,0.8
_046_,0.46
_140_,0.46
_167_,0.46
