net,length_um
_000_,206.04
_183_,195.67
_184_,178.42
_181_,165.45
_056_,150.14
_061_,147.84
_062_,144.27
_055_,137.42
_052_,133.805
_178_,127.475
_048_,125.445
_047_,123.59
net44,110.48
net42,110.1
_057_,106.84
clknet_2_1__leaf_clk,106
net49,103.6
net53,102.8
net55,102.04
clknet_2_0__leaf_clk,101.34
net45,96.42
net58,94.48
clknet_2_3__leaf_clk,94.3
net17,91.86
clknet_2_2__leaf_clk,89.86
_190_,88.42
_053_,85.92
net38,84.055
net50,80.84
net7,79.08
net52,77.9
_044_,77.56
net47,77.3
net56,77.12
net60,76.985
net26,73.51
net48,72.54
net65,72.485
net36,71.45
net19,71.02
net6,70.38
net1,69.12
net20,68.14
net35,64.06
net43,63.08
net15,63.055
clk,62.99
_182_,62.48
clknet_0_clk,60.4
net51,59.82
_193_,58.2
net32,57.92
net9,57.22
_043_,55.56
net39,55.345
net8,54.67
net11,52.76
_051_,49.25
net62,45.445
net13,44.3
net4,42.855
net54,42
_115_,39.38
net59,38.16
net3,36.42
net57,36.385
net30,36.06
net2,35.68
_147_,35.3
mcand[12],34.73
net34,33.72
_195_,33.34
mcand[8],33.27
_191_,32.88
net41,31.34
net23,29.84
_107_,28.37
net46,27.86
_204_,26.05
estado_act\[1\],26.04
_086_,25.78
_164_,24.985
_158_,24.9
_177_,24.86
_042_,24.76
_041_,23.98
net33,22.12
mcand[6],21.69
net10,21.38
_098_,21.22
net16,21.04
estado_act\[0\],20.94
net66,20.48
_131_,20.4
product[22],20.34
product[20],20.26
mplier[14],20.14
_049_,20.055
_123_,19.64
product[3],19.38
net22,19.2
contador_act\[2\],19.04
net64,18.805
product[0],18.52
_116_,18.5
_141_,18.46
mplier[5],18.34
net40,17.6
net61,17.32
_163_,17.1
product[13],17.08
mcand[13],16.84
product[4],16.74
net78,16.6
net29,16.54
_091_,16.52
net25,16.52
_174_,16.08
product[16],15.92
_118_,15.3
mplier[2],15.16
product[23],15.08
product[7],15.04
product[1],14.9
_080_,14.76
_173_,14.66
net14,14.63
_202_,14.58
net31,14.46
mplier[10],14.44
net63,14.34
_149_,14.24
mplier[11],14.2
_143_,14.18
