net,length_um
_1018_,22.02
_0539_,21.98
_0170_,21.9
_0693_,21.9
_0973_,21.86
_0223_,21.72
_0516_,21.64
_0662_,21.56
_0197_,21.52
_1139_,21.5
_0030_,21.44
_1052_,21.44
_0766_,21.38
_0364_,21.36
_0446_,21.26
_1268_,21.24
_0512_,21.04
_0252_,20.92
_0811_,20.86
_1319_,20.84
_1187_,20.78
_0248_,20.72
_1070_,20.68
_0903_,20.66
_1110_,20.6
_0299_,20.58
_0986_,20.46
_0207_,20.44
_0313_,20.44
_0543_,20.42
_1362_,20.42
_0172_,20.4
_0886_,20.4
_0966_,20.32
_1344_,20.32
_0186_,20.28
_0345_,20.24
_1008_,20.1
_0852_,20.02
_0354_,19.97
_1033_,19.96
_0163_,19.9
_0285_,19.88
product[24],19.87
_0874_,19.86
_0909_,19.86
_0690_,19.84
_0410_,19.72
_0214_,19.66
_0908_,19.62
_1002_,19.62
_0200_,19.6
_0526_,19.56
_1069_,19.54
_0341_,19.52
_1006_,19.5
_1278_,19.42
_1044_,19.38
_1284_,19.38
_1004_,19.36
_1157_,19.32
_0035_,19.3
_0802_,19.3
_0865_,19.3
_0941_,19.24
_1354_,19.24
_0589_,19.12
_0731_,19.045
_1145_,18.96
_0106_,18.95
_0261_,18.94
_0022_,18.9
_0885_,18.86
net66,18.79
_0730_,18.74
_0678_,18.62
_0229_,18.54
_0211_,18.52
_0562_,18.52
_0952_,18.5
_0677_,18.48
_1080_,18.48
_0332_,18.44
_1126_,18.44
_1254_,18.44
_0555_,18.42
_0980_,18.4
_0873_,18.36
_1055_,18.34
_0803_,18.32
_0962_,18.32
net52,18.32
_0056_,18.3
_0864_,18.28
_0975_,18.28
_1317_,18.28
_0896_,18.24
_0432_,18.2
_0202_,18.18
_1127_,18.12
_0972_,17.98
_0378_,17.91
product[21],17.88
_0154_,17.86
_0794_,17.77
_0790_,17.72
_0470_,17.7
_0414_,17.56
_0089_,17.53
_1332_,17.52
_0218_,17.5
_1063_,17.47
_1289_,17.42
_0667_,17.38
_0605_,17.36
_0264_,17.32
_0012_,17.28
_0295_,17.16
_1005_,17.16
_0054_,17.14
_0007_,17.1
_0305_,17.095
_0488_,17.08
_0478_,17.06
_0201_,17.04
_0588_,17
_1136_,17
_1282_,16.94
_0793_,16.92
_0863_,16.9
_0448_,16.86
_0932_,16.86
_0473_,16.84
_0257_,16.8
_0176_,16.74
_0912_,16.74
_1292_,16.74
_0971_,16.73
_0092_,16.72
_0138_,16.72
_0535_,16.72
_1328_,16.72
_1241_,16.7
_1097_,16.64
_0393_,16.6
_0245_,16.58
_0227_,16.52
_0288_,16.5
_0925_,16.46
_1211_,16.44
_1094_,16.4
_0107_,16.38
_0696_,16.34
_1220_,16.275
_0531_,16.16
_1061_,16.16
_0653_,16.1
_0600_,16.08
_0394_,16.06
_1333_,16.06
_0974_,16.02
_1024_,16.02
_0931_,15.94
_1047_,15.94
_0458_,15.92
_0936_,15.92
_0740_,15.91
_0477_,15.84
_0342_,15.82
_0392_,15.8
_0857_,15.8
_1347_,15.8
_1326_,15.76
_0130_,15.74
_0494_,15.74
_0180_,15.72
_0387_,15.7
_0732_,15.66
_1077_,15.62
_0077_,15.6
_0304_,15.6
_0433_,15.6
_0927_,15.6
_0565_,15.56
_0067_,15.54
_0604_,15.505
_0967_,15.5
_0191_,15.46
_0203_,15.44
_0380_,15.38
_0085_,15.36
_0196_,15.36
_0026_,15.34
_0593_,15.32
_1194_,15.26
_1099_,15.24
_1095_,15.22
_0376_,15.12
_0417_,15.1
_0977_,15.06
_0934_,15.04
_1026_,15.04
_1291_,15.02
_0652_,14.94
_0787_,14.9
_0858_,14.9
_0427_,14.88
_0993_,14.86
_0331_,14.84
product[1],14.82
mcand[15],14.81
_1236_,14.8
_0926_,14.78
_0938_,14.76
_0756_,14.74
_0948_,14.74
_1013_,14.74
_0213_,14.64
_1363_,14.64
_0155_,14.62
net51,14.58
_0017_,14.56
_0195_,14.56
_1020_,14.52
_0164_,14.5
_0177_,14.44
_0452_,14.42
_0038_,14.4
_1175_,14.38
_0278_,14.34
_0713_,14.34
_0824_,14.34
_0337_,14.26
_0798_,14.26
_0930_,14.22
_1309_,14.215
_0212_,14.18
_0453_,14.18
_0521_,14.06
_1228_,14.06
_0729_,14.02
_0720_,13.98
_0815_,13.98
_0911_,13.98
_1087_,13.96
_0057_,13.94
_1043_,13.92
_1185_,13.92
_0113_,13.88
_0569_,13.88
_0825_,13.88
_1335_,13.86
_0924_,13.84
_1176_,13.84
_1153_,13.8
_0422_,13.76
_0939_,13.74
_0954_,13.68
_1216_,13.68
_0658_,13.62
_0691_,13.62
_0817_,13.62
_1218_,13.62
_0544_,13.6
_0572_,13.6
_1138_,13.6
_0743_,13.57
_0366_,13.56
_1316_,13.55
_1088_,13.5
_0728_,13.485
_0560_,13.48
_1082_,13.48
_0008_,13.46
_0120_,13.46
_0395_,13.46
_0592_,13.46
_1059_,13.46
_1338_,13.46
_1184_,13.44
_0654_,13.42
_0674_,13.42
_0615_,13.4
_0062_,13.34
_0670_,13.34
_1060_,13.34
_0724_,13.32
_0324_,13.3
_0655_,13.3
_0861_,13.3
_1193_,13.3
_0408_,13.26
_1083_,13.26
_0129_,13.22
_0161_,13.2
_0090_,13.18
_0697_,13.18
_1321_,13.18
net69,13.18
_0268_,13.15
_0832_,13.14
_1261_,13.12
_1102_,13.115
_0053_,13.1
_0508_,13.08
_0173_,13.06
_0574_,13.06
_1230_,13.06
_1296_,13
_1337_,13
_0402_,12.98
_1144_,12.98
_0847_,12.96
product[18],12.96
_0265_,12.95
_0598_,12.94
_0853_,12.94
_1105_,12.94
_1358_,12.94
_0240_,12.92
_0795_,12.92
_0867_,12.9
_0456_,12.88
_0875_,12.88
_1091_,12.88
_0541_,12.86
_0739_,12.82
_0688_,12.8
_0942_,12.78
_1275_,12.78
_0156_,12.76
_1320_,12.76
_0680_,12.74
_0722_,12.72
_1235_,12.7
_0237_,12.68
_1237_,12.65
_0365_,12.64
_0426_,12.64
_0660_,12.64
_0754_,12.64
_0262_,12.6
_0901_,12.58
_0075_,12.54
_0224_,12.515
_0721_,12.5
_0859_,12.5
_0982_,12.5
_0546_,12.48
_0590_,12.48
