net,length_um
_05467_,615.525
net27,589.88
net118,573.72
_04085_,560.09
net111,538.48
net116,531.13
net83,517.66
net1,517.63
net108,509.14
_04596_,501.765
net81,501.48
net62,494.8
net3,473.15
net69,468.5
net117,465.62
net102,463.49
_02866_,460.37
net43,459.73
_03478_,456.8
_03027_,453.18
_00042_,451.56
_01039_,450.975
_00340_,450.58
net127,444.58
_05541_,443.655
net11,443.655
_05388_,442.92
_01980_,441
_00319_,440.68
_02052_,440.48
net70,439.68
net6,432.6
_00974_,427.535
_05637_,427.44
net10,422.075
net93,420.44
_03583_,419.75
_00623_,418.335
_05468_,411.79
_01050_,408.565
net47,407.93
net107,403.2
_01620_,402.75
net126,398.93
net13,398.33
net66,395.99
_01782_,395.48
_02051_,393.48
_02163_,390.62
_00843_,387.175
net52,384.7
net36,383.95
net34,383.88
_00799_,383.61
_05311_,381.535
_00143_,381.02
_02400_,379.79
_03178_,379.57
_01497_,379.21
net58,378.79
net31,377.16
net55,375.91
_05656_,371.84
_02251_,371.79
net33,370.955
net64,370.44
_01800_,369.97
_00646_,368.29
_04531_,367.13
_00624_,366.69
_01977_,366.66
net113,366.42
net22,365.37
_05676_,362.92
_00428_,362.45
_00439_,360.185
_01357_,359.91
_00657_,359.67
_05320_,359.155
_00409_,357.835
_02227_,356.82
_02178_,356.4
_02390_,355.93
_02447_,355.32
_04976_,354.64
net19,353.98
_02764_,353.33
_01007_,353.12
_03026_,352.64
_02228_,351.74
_01978_,351.465
_02161_,351.14
net89,351.04
_00283_,350.84
_03572_,350.3
_03627_,350.27
_05307_,349.71
_04552_,348.485
net17,345.63
net91,344.03
_00076_,343.93
_04585_,343
_03690_,342.77
_05308_,342.75
net73,342.38
net46,341.98
_01651_,339.98
_00139_,339.97
_00898_,339.21
_02695_,338.94
_02864_,337.71
_00038_,337.39
net14,337.05
_00762_,336.125
_01771_,333.81
net78,333.1
net9,329.88
_00526_,329.48
_00985_,329.18
_02677_,329.01
_01441_,328.27
net5,326.825
_03247_,326.075
net2,326
_01849_,325.97
_02174_,325.92
net44,325.54
_02865_,325.36
_02387_,324.89
net37,324.64
_00758_,324.48
_04889_,323.21
_00548_,322.915
_02345_,321.72
_03672_,320.5
_05497_,320.235
_02230_,318.96
_05410_,318.48
_04998_,318.37
_00297_,318.06
