net,length_um
mcand[30],8.26
_364_,8.14
_269_,8.1
mplier[24],8.05
_268_,8.02
_300_,8.02
mcand[12],8.01
_416_,7.96
_288_,7.94
_371_,7.94
_140_,7.88
_203_,7.88
_296_,7.84
product[56],7.79
net139,7.68
_373_,7.64
_422_,7.62
done,7.58
product[23],7.58
product[29],7.58
product[33],7.58
product[57],7.58
product[58],7.58
product[59],7.58
_074_,7.54
_357_,7.54
_022_,7.505
_039_,7.505
_174_,7.48
_236_,7.48
_415_,7.34
_405_,7.32
_277_,7.28
_003_,7.245
_267_,7.24
_397_,7.22
product[19],7.11
_218_,7.1
_146_,7.08
mplier[18],7.01
net159,6.98
product[3],6.91
_038_,6.885
net142,6.87
_055_,6.825
_023_,6.785
_117_,6.78
_273_,6.78
_366_,6.78
mcand[6],6.77
_059_,6.765
net162,6.76
_129_,6.74
_194_,6.72
_318_,6.72
product[54],6.67
product[8],6.67
_382_,6.64
_151_,6.62
_233_,6.6
_334_,6.6
_337_,6.6
_429_,6.6
_436_,6.6
_251_,6.59
_132_,6.52
_163_,6.52
_243_,6.5
_112_,6.365
mcand[13],6.31
mcand[31],6.31
_037_,6.305
_289_,6.3
_350_,6.3
_321_,6.28
_200_,6.26
_400_,6.26
_378_,6.18
_398_,6.18
_331_,6.14
net160,6.06
net146,5.98
mcand[22],5.97
_069_,5.965
_113_,5.96
_411_,5.96
_162_,5.935
mplier[3],5.87
product[40],5.87
_160_,5.86
_308_,5.82
_406_,5.8
_408_,5.8
_425_,5.8
net145,5.8
product[24],5.75
product[32],5.75
_142_,5.72
_417_,5.72
contador_act\[2\],5.72
_430_,5.7
_098_,5.685
_443_,5.68
mcand[28],5.63
product[10],5.63
product[11],5.63
product[49],5.63
_355_,5.62
_383_,5.58
product[17],5.53
_066_,5.525
_377_,5.5
_105_,5.38
_301_,5.38
_358_,5.38
contador_act\[5\],5.38
mcand[20],5.29
_152_,5.26
_177_,5.26
_145_,5.22
_353_,5.22
_016_,5.16
net158,5.12
_028_,5.085
product[34],5.07
product[37],5.07
product[38],5.07
product[61],5.07
_015_,5.045
_253_,4.97
mcand[16],4.95
mplier[12],4.95
